DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
ECCO Ice Shelf Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_05DEG_DAILY_V4R6,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-ISF46,V4r6
ECCO Ice Shelf Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_DAILY_V4R6,ICE_SHELF_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-ISF46,V4r6
ECCO Ice Shelf Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_05DEG_MONTHLY_V4R6,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-ISF46,V4r6
ECCO Ice Shelf Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_ICE_SHELF_FLUX_LLC0090GRID_MONTHLY_V4R6,ICE_SHELF_FLUX_mon_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-ISF46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-FRE46,V4r6
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-HEA46,V4r6
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-HEA46,V4r6
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-HEA46,V4r6
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-HEA46,V4r6
ECCO Ocean and Sea-Ice Surface Stress - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_STRESS_05DEG_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-STR46,V4r6
ECCO Ocean and Sea-Ice Surface Stress - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_STRESS_LLC0090GRID_DAILY_V4R6,OCEAN_AND_ICE_SURFACE_STRESS_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-STR46,V4r6
ECCO Ocean and Sea-Ice Surface Stress - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_SURFACE_STRESS_05DEG_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-STR46,V4r6
ECCO Ocean and Sea-Ice Surface Stress - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_SURFACE_STRESS_LLC0090GRID_MONTHLY_V4R6,OCEAN_AND_ICE_SURFACE_STRESS_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-STR46,V4r6
ECCO Ocean Bottom Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OBP_05DEG_DAILY_V4R6,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-OBP46,V4r6
ECCO Ocean Bottom Pressure - Daily Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OBP_LLC0090GRID_DAILY_V4R6,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5D-OBP46,V4r6
ECCO Ocean Bottom Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6),ECCO_L4_OBP_05DEG_MONTHLY_V4R6,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5M-OBP46,V4r6
ECCO Ocean Bottom Pressure - Monthly Mean llc90 Grid (Version 4 Release 6),ECCO_L4_OBP_LLC0090GRID_MONTHLY_V4R6,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5M-OBP46,V4r6
ECCO Ocean Bottom Pressure - Snapshot llc90 Grid (Version 4 Release 6),ECCO_L4_OBP_LLC0090GRID_SNAPSHOT_V4R6,OCEAN_BOTTOM_PRESSURE_snap_1992-01-01T000000_ECCO_V4r6_native_llc0090.nc,10.5067/ECL5S-OBP46,V4r6
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 6)",ECCO_L4_DENS_STRAT_PRESS_05DEG_DAILY_V4R6,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r6_latlon_0p50deg.nc,10.5067/ECG5D-ODE46,V4r6
