DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Daily Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_DAILY_V4R5,OCEAN_DENS_STRAT_PRESS_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-ODE45,V4r5
"ECCO Ocean Density, Stratification, and Hydrostatic Pressure - Monthly Mean llc90 Grid (Version 4 Release 5)",ECCO_L4_DENS_STRAT_PRESS_LLC0090GRID_MONTHLY_V4R5,OCEAN_DENS_STRAT_PRESS_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-ODE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-FRE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_05DEG_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5M-FRE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5D-FRE45,V4r5
ECCO Ocean and Sea-Ice Surface Freshwater Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_FRESHWATER_FLUX_LLC0090GRID_MONTHLY_V4R5,OCEAN_AND_ICE_SURFACE_FW_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,10.5067/ECL5M-FRE45,V4r5
ECCO Global Mean Atmospheric Pressure - Snapshot (Version 4 Release 5),ECCO_L4_GMAP_TIME_SERIES_SNAPSHOT_V4R5,GLOBAL_MEAN_ATM_SURFACE_PRES_snap_ECCO_V4r5_1D.nc,10.5067/ECTSS-MAP45,V4r5
ECCO Global Mean Sea Level - Daily Mean (Version 4 Release 5),ECCO_L4_GMSL_TIME_SERIES_DAILY_V4R5,GLOBAL_MEAN_SEA_LEVEL_day_mean_ECCO_V4r5_1D.nc,10.5067/ECTSD-MSL45,V4r5
ECCO Global Mean Sea Level - Monthly Mean (Version 4 Release 5),ECCO_L4_GMSL_TIME_SERIES_MONTHLY_V4R5,GLOBAL_MEAN_SEA_LEVEL_mon_mean_ECCO_V4r5_1D.nc,10.5067/ECTSM-MSL45,V4r5
ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_DAILY_V4R5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,10.5067/ECG5D-HEA45,V4r5
