concept-id,DATASET.LONG_NAME,DATASET.SHORT_NAME,DATASET.FILENAME,DATASET.PERSISTENT_ID,DATASET_CITATION.VERSION
C1991543729-POCLOUD,ECCO Global Mean Atmospheric Pressure - Snapshot (Version 4 Release 5),ECCO_L4_GMAP_TIME_SERIES_SNAPSHOT_V4r5,GLOBAL_MEAN_ATM_SURFACE_PRES_snap_ECCO_V4r5_1D.nc,PODAAC-ECTSS-MAP44,V4r5
C1991543819-POCLOUD,ECCO Global Mean Sea Level - Daily Mean (Version 4 Release 5),ECCO_L4_GMSL_TIME_SERIES_DAILY_V4r5,GLOBAL_MEAN_SEA_LEVEL_day_mean_ECCO_V4r5_1D.nc,PODAAC-ECTSD-MSL44,V4r5
C1991543742-POCLOUD,ECCO Global Mean Sea Level - Monthly Mean (Version 4 Release 5),ECCO_L4_GMSL_TIME_SERIES_MONTHLY_V4r5,GLOBAL_MEAN_SEA_LEVEL_mon_mean_ECCO_V4r5_1D.nc,PODAAC-ECTSM-MSL44,V4r5
C1990404788-POCLOUD,ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_DAILY_V4r5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-HEA44,V4r5
C1990404812-POCLOUD,ECCO Ocean and Sea-Ice Surface Heat Fluxes - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_05DEG_MONTHLY_V4r5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-HEA44,V4r5
C1991543712-POCLOUD,ECCO Ocean and Sea-Ice Surface Heat Fluxes - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_DAILY_V4r5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-HEA44,V4r5
C1991543811-POCLOUD,ECCO Ocean and Sea-Ice Surface Heat Fluxes - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_SURFACE_HEAT_FLUX_LLC0090GRID_MONTHLY_V4r5,OCEAN_AND_ICE_SURFACE_HEAT_FLUX_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-HEA44,V4r5
C1990404810-POCLOUD,ECCO Ocean Mixed Layer Depth - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_05DEG_DAILY_V4r5,OCEAN_MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-OML44,V4r5
C1990404819-POCLOUD,ECCO Ocean Mixed Layer Depth - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_05DEG_MONTHLY_V4r5,OCEAN_MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-OML44,V4r5
C1991543734-POCLOUD,ECCO Ocean Mixed Layer Depth - Daily Mean llc90 Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_LLC0090GRID_DAILY_V4r5,OCEAN_MIXED_LAYER_DEPTH_day_mean_1992-01-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5D-OML44,V4r5
C1991543741-POCLOUD,ECCO Ocean Mixed Layer Depth - Monthly Mean llc90 Grid (Version 4 Release 5),ECCO_L4_MIXED_LAYER_DEPTH_LLC0090GRID_MONTHLY_V4r5,OCEAN_MIXED_LAYER_DEPTH_mon_mean_1992-01_ECCO_V4r5_native_llc0090.nc,PODAAC-ECL5M-OML44,V4r5
C1990404797-POCLOUD,ECCO Ocean Bottom Pressure - Daily Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OBP_05DEG_DAILY_V4r5,OCEAN_BOTTOM_PRESSURE_day_mean_1992-01-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5D-OBP44,V4r5
C1990404791-POCLOUD,ECCO Ocean Bottom Pressure - Monthly Mean 0.5 Degree Lat-Lon Grid (Version 4 Release 5),ECCO_L4_OBP_05DEG_MONTHLY_V4r5,OCEAN_BOTTOM_PRESSURE_mon_mean_1992-01_ECCO_V4r5_latlon_0p50deg.nc,PODAAC-ECG5M-OBP44,V4r5
